spdb1017	12月18日
spdb1018	12月18日，保定银行业公众教育服务区正式启用，标志着公众教育服务工作迈上常态化、规范化、立体化新台阶。
spdb1019	保定银行业公众教育服务区分为自助示范区、接待咨询区和户外宣传区，常年有工作人员提供咨询、讲解服务，向社会公众介绍金融产品、服务、监管等方面的基础知识，进行风险提示，指导公众识别和防范风险的基本方法，提高公众以法律维护自身合法权益的意识
spdb1020	银行业公众教育服务区分示范区宣传区工作人员咨询服务社会公众金融产品服务监管方面基础知识风险公众识别风险方法公众法律权益意识
spdb1027	['yes', '是']
spdb1028	10项45项
spdb1029	五项
spdb1030	福建银监局采取“五项措施”督促农信机构降低融资成本。
spdb1037	（一）浙江九地银行集成专项资源，开辟智造企业支持通道。一是专门组建科技支行，提高审贷效能。九地依托13家科技型支行，创新智能制造行业调查流程，快速响应智能制造企业融资需求。如温州龙湾农商行科技支行派驻专人对接高新园区，收集
spdb1038	（二）浙江九地银行业集成产品与服务，支持智造企业“走出去”与“引进来”。一是加速国际业务创新，实现智能装备“走出去”。 九地银行业将银团贷款、资管计划等理念引入保函等传统业务，促进智造企业扩大出口产能、参与海外并购，
spdb1039	（三）浙江九地银行集成企业群体与生产线，支持大企业转型与小企业壮大。一是创新项目营运贷款，促成生产线集成。部分大型智造企业生产线由多个项目组成，项目间的衔接需要资金投入，但这部分资金需求量大且散，无法单独做项目贷款，需要后期流动资金
spdb1040	前身国有农场工人农民特点
spdb1047	['yes', '是']
spdb1048	关于开设理财和代销产品销售举报投诉电话的公告，为有效维护银行业消费者合法权益，杜绝误导、诱导销售和私售“飞单”等违规行为，我局在辖区部署开展了理财销售专区“双录”工作，目前已全面完成。
spdb1049	['yes', '是']
spdb1050	2017年1月1日起
spdb1057	阜新银行把服务阜新实体经济作为战略导向，积极转变发展方式，推进业务结构调整。一是加大对重点项目、产业集群和新兴产业等领域的金融投入。积极支持辽宁宝厦建筑产业基地、辽宁神坤液压支架项目、徐工（辽宁）整车装备等合作项目，推进企业在品牌引进
spdb1058	2017年6月6日
spdb1059	2017年6月6日，北京银监局批复同意北京中关村银行开业，标志着北京市首家民营银行正式落地。
